REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
CR,PPHROR,All,2018,0.476
CR,PPHROR,All,2019,0.4826
CR,PPHROR,All,2020,0.4893
CR,PPHROR,All,2021,0.4959
CR,PPHROR,All,2022,0.5025
CR,PPHROR,All,2023,0.5092
CR,PPHROR,All,2024,0.5158
CR,PPHROR,All,2025,0.5224
CR,PPHROR,All,2026,0.5291
CR,PPHROR,All,2027,0.5357
CR,PPHROR,All,2028,0.5423
CR,PPHROR,All,2029,0.549
CR,PPHROR,All,2030,0.5556
CR,PPHROR,All,2031,0.5563
CR,PPHROR,All,2032,0.557
CR,PPHROR,All,2033,0.5578
CR,PPHROR,All,2034,0.5585
CR,PPHROR,All,2035,0.5592
CR,PPHROR,All,2036,0.5599
CR,PPHROR,All,2037,0.5606
CR,PPHROR,All,2038,0.5614
CR,PPHROR,All,2039,0.5621
CR,PPHROR,All,2040,0.5628
CR,PPHROR,All,2041,0.5635
CR,PPHROR,All,2042,0.5642
CR,PPHROR,All,2043,0.565
CR,PPHROR,All,2044,0.5657
CR,PPHROR,All,2045,0.5664
CR,PPHROR,All,2046,0.5671
CR,PPHROR,All,2047,0.5678
CR,PPHROR,All,2048,0.5686
CR,PPHROR,All,2049,0.5693
CR,PPHROR,All,2050,0.57
CR,PPGEO,All,2018,0.782
CR,PPGEO,All,2019,0.782
CR,PPGEO,All,2020,0.782
CR,PPGEO,All,2021,0.782
CR,PPGEO,All,2022,0.782
CR,PPGEO,All,2023,0.7856
CR,PPGEO,All,2024,0.7893
CR,PPGEO,All,2025,0.7929
CR,PPGEO,All,2026,0.7966
CR,PPGEO,All,2027,0.8002
CR,PPGEO,All,2028,0.8038
CR,PPGEO,All,2029,0.8075
CR,PPGEO,All,2030,0.8111
CR,PPGEO,All,2031,0.8148
CR,PPGEO,All,2032,0.8184
CR,PPGEO,All,2033,0.8221
CR,PPGEO,All,2034,0.8257
CR,PPGEO,All,2035,0.8257
CR,PPGEO,All,2036,0.8257
CR,PPGEO,All,2037,0.8257
CR,PPGEO,All,2038,0.8257
CR,PPGEO,All,2039,0.8257
CR,PPGEO,All,2040,0.8257
CR,PPGEO,All,2041,0.8257
CR,PPGEO,All,2042,0.8257
CR,PPGEO,All,2043,0.8257
CR,PPGEO,All,2044,0.8257
CR,PPGEO,All,2045,0.8257
CR,PPGEO,All,2046,0.8257
CR,PPGEO,All,2047,0.8257
CR,PPGEO,All,2048,0.8257
CR,PPGEO,All,2049,0.8257
CR,PPGEO,All,2050,0.8257
CR,PPBIO,All,2018,0.317
CR,PPBIO,All,2019,0.317
CR,PPBIO,All,2020,0.317
CR,PPBIO,All,2021,0.317
CR,PPBIO,All,2022,0.317
CR,PPBIO,All,2023,0.32
CR,PPBIO,All,2024,0.3229
CR,PPBIO,All,2025,0.3259
CR,PPBIO,All,2026,0.3289
CR,PPBIO,All,2027,0.3318
CR,PPBIO,All,2028,0.3348
CR,PPBIO,All,2029,0.3377
CR,PPBIO,All,2030,0.3407
CR,PPBIO,All,2031,0.3437
CR,PPBIO,All,2032,0.3466
CR,PPBIO,All,2033,0.3496
CR,PPBIO,All,2034,0.3526
CR,PPBIO,All,2035,0.3555
CR,PPBIO,All,2036,0.3585
CR,PPBIO,All,2037,0.3615
CR,PPBIO,All,2038,0.3644
CR,PPBIO,All,2039,0.3674
CR,PPBIO,All,2040,0.3704
CR,PPBIO,All,2041,0.3733
CR,PPBIO,All,2042,0.3763
CR,PPBIO,All,2043,0.3793
CR,PPBIO,All,2044,0.3822
CR,PPBIO,All,2045,0.3852
CR,PPBIO,All,2046,0.3881
CR,PPBIO,All,2047,0.3911
CR,PPBIO,All,2048,0.3941
CR,PPBIO,All,2049,0.397
CR,PPBIO,All,2050,0.4
CR,PPHDAM,All,2018,0.4328
CR,PPHDAM,All,2019,0.4388
CR,PPHDAM,All,2020,0.4448
CR,PPHDAM,All,2021,0.4509
CR,PPHDAM,All,2022,0.4569
CR,PPHDAM,All,2023,0.4629
CR,PPHDAM,All,2024,0.469
CR,PPHDAM,All,2025,0.475
CR,PPHDAM,All,2026,0.481
CR,PPHDAM,All,2027,0.487
CR,PPHDAM,All,2028,0.493
CR,PPHDAM,All,2029,0.4991
CR,PPHDAM,All,2030,0.5051
CR,PPHDAM,All,2031,0.5053
CR,PPHDAM,All,2032,0.5056
CR,PPHDAM,All,2033,0.5058
CR,PPHDAM,All,2034,0.5061
CR,PPHDAM,All,2035,0.5063
CR,PPHDAM,All,2036,0.5066
CR,PPHDAM,All,2037,0.5068
CR,PPHDAM,All,2038,0.5071
CR,PPHDAM,All,2039,0.5073
CR,PPHDAM,All,2040,0.5076
CR,PPHDAM,All,2041,0.5078
CR,PPHDAM,All,2042,0.508
CR,PPHDAM,All,2043,0.5083
CR,PPHDAM,All,2044,0.5085
CR,PPHDAM,All,2045,0.5088
CR,PPHDAM,All,2046,0.509
CR,PPHDAM,All,2047,0.5093
CR,PPHDAM,All,2048,0.5095
CR,PPHDAM,All,2049,0.5098
CR,PPHDAM,All,2050,0.51
CR,PPPVTS,All,2018,0.175
CR,PPPVTS,All,2019,0.175
CR,PPPVTS,All,2020,0.175
CR,PPPVTS,All,2021,0.175
CR,PPPVTS,All,2022,0.175
CR,PPPVTS,All,2023,0.175
CR,PPPVTS,All,2024,0.175
CR,PPPVTS,All,2025,0.175
CR,PPPVTS,All,2026,0.175
CR,PPPVTS,All,2027,0.175
CR,PPPVTS,All,2028,0.175
CR,PPPVTS,All,2029,0.175
CR,PPPVTS,All,2030,0.175
CR,PPPVTS,All,2031,0.175
CR,PPPVTS,All,2032,0.175
CR,PPPVTS,All,2033,0.175
