REGION,TECHNOLOGY,YEAR,VALUE
CR,DIST_LPG,2018,234.55
CR,DIST_LPG,2019,234.55
CR,DIST_LPG,2020,234.55
CR,DIST_LPG,2021,234.55
CR,DIST_LPG,2022,234.55
CR,DIST_LPG,2023,234.55
CR,DIST_LPG,2024,234.55
CR,DIST_LPG,2025,234.55
CR,DIST_LPG,2026,234.55
CR,DIST_LPG,2027,234.55
CR,DIST_LPG,2028,234.55
CR,DIST_LPG,2029,234.55
CR,DIST_LPG,2030,234.55
CR,DIST_LPG,2031,234.55
CR,DIST_LPG,2032,234.55
CR,DIST_LPG,2033,234.55
CR,DIST_LPG,2034,234.55
CR,DIST_LPG,2035,234.55
CR,DIST_LPG,2036,234.55
CR,DIST_LPG,2037,234.55
CR,DIST_LPG,2038,234.55
CR,DIST_LPG,2039,234.55
CR,DIST_LPG,2040,234.55
CR,DIST_LPG,2041,234.55
CR,DIST_LPG,2042,234.55
CR,DIST_LPG,2043,234.55
CR,DIST_LPG,2044,234.55
CR,DIST_LPG,2045,234.55
CR,DIST_LPG,2046,234.55
CR,DIST_LPG,2047,234.55
CR,DIST_LPG,2048,234.55
CR,DIST_LPG,2049,234.55
CR,DIST_LPG,2050,234.55
CR,PPHDAM,2018,5111.0
CR,PPHDAM,2019,5111.0
CR,PPHDAM,2020,5111.0
CR,PPHDAM,2021,5111.0
CR,PPHDAM,2022,5111.0
CR,PPHDAM,2023,5111.0
CR,PPHDAM,2024,5111.0
CR,PPHDAM,2025,5111.0
CR,PPHDAM,2026,5111.0
CR,PPHDAM,2027,5111.0
CR,PPHDAM,2028,5111.0
CR,PPHDAM,2029,5111.0
CR,PPHDAM,2030,5111.0
CR,PPHDAM,2031,5111.0
CR,PPHDAM,2032,5111.0
CR,PPHDAM,2033,5111.0
CR,PPHDAM,2034,5111.0
CR,PPHDAM,2035,5111.0
CR,PPHDAM,2036,5111.0
CR,PPHDAM,2037,5111.0
CR,PPHDAM,2038,5111.0
CR,PPHDAM,2039,5111.0
CR,PPHDAM,2040,5111.0
CR,PPHDAM,2041,5111.0
CR,PPHDAM,2042,5111.0
CR,PPHDAM,2043,5111.0
CR,PPHDAM,2044,5111.0
CR,PPHDAM,2045,5111.0
CR,PPHDAM,2046,5111.0
CR,PPHDAM,2047,5111.0
CR,PPHDAM,2048,5111.0
CR,PPHDAM,2049,5111.0
CR,PPHDAM,2050,5111.0
CR,PPHROR,2018,4385.15
CR,PPHROR,2019,4385.15
CR,PPHROR,2020,4385.15
CR,PPHROR,2021,4385.15
CR,PPHROR,2022,4385.15
CR,PPHROR,2023,4385.15
CR,PPHROR,2024,4385.15
CR,PPHROR,2025,4385.15
CR,PPHROR,2026,4385.15
CR,PPHROR,2027,4385.15
CR,PPHROR,2028,4385.15
CR,PPHROR,2029,4385.15
CR,PPHROR,2030,4385.15
CR,PPHROR,2031,4385.15
CR,PPHROR,2032,4385.15
CR,PPHROR,2033,4385.15
CR,PPHROR,2034,4385.15
CR,PPHROR,2035,4385.15
CR,PPHROR,2036,4385.15
CR,PPHROR,2037,4385.15
CR,PPHROR,2038,4385.15
CR,PPHROR,2039,4385.15
CR,PPHROR,2040,4385.15
CR,PPHROR,2041,4385.15
CR,PPHROR,2042,4385.15
CR,PPHROR,2043,4385.15
CR,PPHROR,2044,4385.15
CR,PPHROR,2045,4385.15
CR,PPHROR,2046,4385.15
CR,PPHROR,2047,4385.15
CR,PPHROR,2048,4385.15
CR,PPHROR,2049,4385.15
CR,PPHROR,2050,4385.15
CR,PPGEO,2018,8322.0
CR,PPGEO,2019,8322.0
CR,PPGEO,2020,8322.0
CR,PPGEO,2021,8322.0
CR,PPGEO,2022,8322.0
CR,PPGEO,2023,8322.0
CR,PPGEO,2024,8322.0
CR,PPGEO,2025,8322.0
CR,PPGEO,2026,8322.0
CR,PPGEO,2027,8322.0
CR,PPGEO,2028,8322.0
CR,PPGEO,2029,8322.0
CR,PPGEO,2030,8322.0
CR,PPGEO,2031,8322.0
CR,PPGEO,2032,8322.0
CR,PPGEO,2033,8322.0
CR,PPGEO,2034,8322.0
CR,PPGEO,2035,8322.0
CR,PPGEO,2036,8322.0
CR,PPGEO,2037,8322.0
CR,PPGEO,2038,8322.0
CR,PPGEO,2039,8322.0
CR,PPGEO,2040,8322.0
CR,PPGEO,2041,8322.0
CR,PPGEO,2042,8322.0
CR,PPGEO,2043,8322.0
CR,PPGEO,2044,8322.0
CR,PPGEO,2045,8322.0
CR,PPGEO,2046,8322.0
CR,PPGEO,2047,8322.0
CR,PPGEO,2048,8322.0
CR,PPGEO,2049,8322.0
CR,PPGEO,2050,8322.0
CR,PPWNDON,2018,2630.7
CR,PPWNDON,2019,2607.6
CR,PPWNDON,2020,2584.5
CR,PPWNDON,2021,2561.4
CR,PPWNDON,2022,2538.3
CR,PPWNDON,2023,2515.2
CR,PPWNDON,2024,2492.1
CR,PPWNDON,2025,2469.0
CR,PPWNDON,2026,2445.9
CR,PPWNDON,2027,2422.8
CR,PPWNDON,2028,2399.7
CR,PPWNDON,2029,2376.6
CR,PPWNDON,2030,2353.5
CR,PPWNDON,2031,2353.5
CR,PPWNDON,2032,2353.5
