REGION,FUEL,TIMESLICE,YEAR,VALUE
CR,E7IDLTEAL2,All,2018,1.0
CR,E7IDLTEAL2,All,2019,1.0
CR,E7IDLTEAL2,All,2020,1.0
CR,E7IDLTEAL2,All,2021,1.0
CR,E7IDLTEAL2,All,2022,1.0
CR,E7IDLTEAL2,All,2023,1.0
CR,E7IDLTEAL2,All,2024,1.0
CR,E7IDLTEAL2,All,2025,1.0
CR,E7IDLTEAL2,All,2026,1.0
CR,E7IDLTEAL2,All,2027,1.0
CR,E7IDLTEAL2,All,2028,1.0
CR,E7IDLTEAL2,All,2029,1.0
CR,E7IDLTEAL2,All,2030,1.0
CR,E7IDLTEAL2,All,2031,1.0
CR,E7IDLTEAL2,All,2032,1.0
CR,E7IDLTEAL2,All,2033,1.0
CR,E7IDLTEAL2,All,2034,1.0
CR,E7IDLTEAL2,All,2035,1.0
CR,E7IDLTEAL2,All,2036,1.0
CR,E7IDLTEAL2,All,2037,1.0
CR,E7IDLTEAL2,All,2038,1.0
CR,E7IDLTEAL2,All,2039,1.0
CR,E7IDLTEAL2,All,2040,1.0
CR,E7IDLTEAL2,All,2041,1.0
CR,E7IDLTEAL2,All,2042,1.0
CR,E7IDLTEAL2,All,2043,1.0
CR,E7IDLTEAL2,All,2044,1.0
CR,E7IDLTEAL2,All,2045,1.0
CR,E7IDLTEAL2,All,2046,1.0
CR,E7IDLTEAL2,All,2047,1.0
CR,E7IDLTEAL2,All,2048,1.0
CR,E7IDLTEAL2,All,2049,1.0
CR,E7IDLTEAL2,All,2050,1.0
CR,E6TDPASPRI,All,2018,1.0
CR,E6TDPASPRI,All,2019,1.0
CR,E6TDPASPRI,All,2020,1.0
CR,E6TDPASPRI,All,2021,1.0
CR,E6TDPASPRI,All,2022,1.0
CR,E6TDPASPRI,All,2023,1.0
CR,E6TDPASPRI,All,2024,1.0
CR,E6TDPASPRI,All,2025,1.0
CR,E6TDPASPRI,All,2026,1.0
CR,E6TDPASPRI,All,2027,1.0
CR,E6TDPASPRI,All,2028,1.0
