REGION,TECHNOLOGY,YEAR,VALUE
CR,Techs_SUVMIV,2018,4.8415
CR,Techs_SUVMIV,2019,4.944
CR,Techs_SUVMIV,2020,3.7278
CR,Techs_SUVMIV,2021,4.3093
CR,Techs_SUVMIV,2022,4.9471
CR,Techs_SUVMIV,2023,5.083
CR,Techs_SUVMIV,2024,5.2227
CR,Techs_SUVMIV,2025,5.3655
CR,Techs_SUVMIV,2026,5.5115
CR,Techs_SUVMIV,2027,5.6607
CR,Techs_SUVMIV,2028,5.8133
CR,Techs_SUVMIV,2029,5.9691
CR,Techs_SUVMIV,2030,6.1284
CR,Techs_SUVMIV,2031,6.291
CR,Techs_SUVMIV,2032,6.4572
CR,Techs_SUVMIV,2033,6.6268
CR,Techs_SUVMIV,2034,6.8001
CR,Techs_SUVMIV,2035,6.9769
CR,Techs_SUVMIV,2036,7.1575
CR,Techs_SUVMIV,2037,7.3417
CR,Techs_SUVMIV,2038,7.5297
CR,Techs_SUVMIV,2039,7.7215
CR,Techs_SUVMIV,2040,7.9171
CR,Techs_SUVMIV,2041,8.1167
CR,Techs_SUVMIV,2042,8.3202
CR,Techs_SUVMIV,2043,8.5276
CR,Techs_SUVMIV,2044,8.7392
CR,Techs_SUVMIV,2045,8.9547
CR,Techs_SUVMIV,2046,9.1745
CR,Techs_SUVMIV,2047,9.3983
CR,Techs_SUVMIV,2048,9.6264
CR,Techs_SUVMIV,2049,9.8587
CR,Techs_SUVMIV,2050,10.0953
CR,Techs_Sedan,2018,9.6011
CR,Techs_Sedan,2019,9.804
CR,Techs_Sedan,2020,7.3922
CR,Techs_Sedan,2021,8.5454
CR,Techs_Sedan,2022,9.8102
CR,Techs_Sedan,2023,10.0797
CR,Techs_Sedan,2024,10.3567
CR,Techs_Sedan,2025,10.6399
CR,Techs_Sedan,2026,10.9295
CR,Techs_Sedan,2027,11.2254
CR,Techs_Sedan,2028,11.5279
CR,Techs_Sedan,2029,11.8369
CR,Techs_Sedan,2030,12.1527
CR,Techs_Sedan,2031,12.4753
CR,Techs_Sedan,2032,12.8048
CR,Techs_Sedan,2033,13.1412
CR,Techs_Sedan,2034,13.4847
CR,Techs_Sedan,2035,13.8355
CR,Techs_Sedan,2036,14.1934
CR,Techs_Sedan,2037,14.5588
CR,Techs_Sedan,2038,14.9316
CR,Techs_Sedan,2039,15.3119
CR,Techs_Sedan,2040,15.6999
CR,Techs_Sedan,2041,16.0956
CR,Techs_Sedan,2042,16.4991
CR,Techs_Sedan,2043,16.9106
CR,Techs_Sedan,2044,17.33
CR,Techs_Sedan,2045,17.7575
CR,Techs_Sedan,2046,18.1932
CR,Techs_Sedan,2047,18.6372
CR,Techs_Sedan,2048,19.0894
CR,Techs_Sedan,2049,19.5501
CR,Techs_Sedan,2050,20.0193
CR,Techs_Motos,2018,3.2712
CR,Techs_Motos,2019,3.3411
CR,Techs_Motos,2020,2.5192
CR,Techs_Motos,2021,2.9122
CR,Techs_Motos,2022,3.3432
CR,Techs_Motos,2023,3.435
CR,Techs_Motos,2024,3.5294
CR,Techs_Motos,2025,3.626
CR,Techs_Motos,2026,3.7246
CR,Techs_Motos,2027,3.8255
CR,Techs_Motos,2028,3.9286
CR,Techs_Motos,2029,4.0339
CR,Techs_Motos,2030,4.1415
CR,Techs_Motos,2031,4.2514
CR,Techs_Motos,2032,4.3637
CR,Techs_Motos,2033,4.4784
CR,Techs_Motos,2034,4.5954
CR,Techs_Motos,2035,4.7149
CR,Techs_Motos,2036,4.8369
CR,Techs_Motos,2037,4.9614
CR,Techs_Motos,2038,5.0885
CR,Techs_Motos,2039,5.2181
CR,Techs_Motos,2040,5.3503
CR,Techs_Motos,2041,5.4852
CR,Techs_Motos,2042,5.6227
CR,Techs_Motos,2043,5.7629
CR,Techs_Motos,2044,5.9058
CR,Techs_Motos,2045,6.0515
CR,Techs_Motos,2046,6.2
CR,Techs_Motos,2047,6.3513
CR,Techs_Motos,2048,6.5054
CR,Techs_Motos,2049,6.6624
CR,Techs_Motos,2050,6.8223
CR,Techs_Buses,2018,0.4351
CR,Techs_Buses,2019,0.4443
CR,Techs_Buses,2020,0.335
CR,Techs_Buses,2021,0.3873
CR,Techs_Buses,2022,0.4446
CR,Techs_Buses,2023,0.4568
CR,Techs_Buses,2024,0.4693
CR,Techs_Buses,2025,0.4822
CR,Techs_Buses,2026,0.4953
CR,Techs_Buses,2027,0.5087
CR,Techs_Buses,2028,0.5224
CR,Techs_Buses,2029,0.5364
CR,Techs_Buses,2030,0.5507
CR,Techs_Buses,2031,0.5653
CR,Techs_Buses,2032,0.5803
CR,Techs_Buses,2033,0.5955
CR,Techs_Buses,2034,0.6111
CR,Techs_Buses,2035,0.627
CR,Techs_Buses,2036,0.6432
CR,Techs_Buses,2037,0.6598
CR,Techs_Buses,2038,0.6767
CR,Techs_Buses,2039,0.6939
CR,Techs_Buses,2040,0.7115
CR,Techs_Buses,2041,0.7294
CR,Techs_Buses,2042,0.7477
CR,Techs_Buses,2043,0.7663
CR,Techs_Buses,2044,0.7853
CR,Techs_Buses,2045,0.8047
CR,Techs_Buses,2046,0.8245
CR,Techs_Buses,2047,0.8446
CR,Techs_Buses,2048,0.8651
CR,Techs_Buses,2049,0.886
CR,Techs_Buses,2050,0.9072
CR,Techs_Microbuses,2018,0.4004
CR,Techs_Microbuses,2019,0.4088
CR,Techs_Microbuses,2020,0.3082
CR,Techs_Microbuses,2021,0.3563
CR,Techs_Microbuses,2022,0.409
CR,Techs_Microbuses,2023,0.4203
CR,Techs_Microbuses,2024,0.4318
CR,Techs_Microbuses,2025,0.4436
CR,Techs_Microbuses,2026,0.4557
CR,Techs_Microbuses,2027,0.468
CR,Techs_Microbuses,2028,0.4807
CR,Techs_Microbuses,2029,0.4935
CR,Techs_Microbuses,2030,0.5067
CR,Techs_Microbuses,2031,0.5202
CR,Techs_Microbuses,2032,0.5339
CR,Techs_Microbuses,2033,0.5479
CR,Techs_Microbuses,2034,0.5622
CR,Techs_Microbuses,2035,0.5769
CR,Techs_Microbuses,2036,0.5918
CR,Techs_Microbuses,2037,0.607
CR,Techs_Microbuses,2038,0.6226
CR,Techs_Microbuses,2039,0.6384
CR,Techs_Microbuses,2040,0.6546
CR,Techs_Microbuses,2041,0.6711
CR,Techs_Microbuses,2042,0.6879
CR,Techs_Microbuses,2043,0.7051
CR,Techs_Microbuses,2044,0.7226
CR,Techs_Microbuses,2045,0.7404
CR,Techs_Microbuses,2046,0.7586
CR,Techs_Microbuses,2047,0.7771
CR,Techs_Microbuses,2048,0.7959
CR,Techs_Microbuses,2049,0.8151
CR,Techs_Microbuses,2050,0.8347
CR,Techs_Taxis,2018,0.5519
CR,Techs_Taxis,2019,0.5638
CR,Techs_Taxis,2020,0.4251
CR,Techs_Taxis,2021,0.4915
CR,Techs_Taxis,2022,0.5642
CR,Techs_Taxis,2023,0.5797
CR,Techs_Taxis,2024,0.5956
CR,Techs_Taxis,2025,0.6119
CR,Techs_Taxis,2026,0.6286
CR,Techs_Taxis,2027,0.6456
CR,Techs_Taxis,2028,0.663
CR,Techs_Taxis,2029,0.6808
CR,Techs_Taxis,2030,0.6989
CR,Techs_Taxis,2031,0.7175
CR,Techs_Taxis,2032,0.7364
CR,Techs_Taxis,2033,0.7558
CR,Techs_Taxis,2034,0.7755
CR,Techs_Taxis,2035,0.7957
CR,Techs_Taxis,2036,0.8163
CR,Techs_Taxis,2037,0.8373
CR,Techs_Taxis,2038,0.8587
CR,Techs_Taxis,2039,0.8806
CR,Techs_Taxis,2040,0.9029
CR,Techs_Taxis,2041,0.9257
CR,Techs_Taxis,2042,0.9489
CR,Techs_Taxis,2043,0.9725
CR,Techs_Taxis,2044,0.9967
CR,Techs_Taxis,2045,1.0213
CR,Techs_Taxis,2046,1.0463
CR,Techs_Taxis,2047,1.0718
CR,Techs_Taxis,2048,1.0979
CR,Techs_Taxis,2049,1.1243
CR,Techs_Taxis,2050,1.1513
CR,Techs_Trains,2018,0.1
CR,Techs_Trains,2019,0.1
CR,Techs_Trains,2020,0.1
CR,Techs_Trains,2021,0.1
CR,Techs_Trains,2022,0.1
CR,Techs_Trains,2023,0.1
CR,Techs_Trains,2024,0.1
CR,Techs_Trains,2025,0.1
CR,Techs_Trains,2026,0.1
CR,Techs_Trains,2027,0.1
CR,Techs_Trains,2028,0.1
CR,Techs_Trains,2029,0.1
CR,Techs_Trains,2030,0.1
CR,Techs_Trains,2031,0.1
CR,Techs_Trains,2032,0.1
CR,Techs_Trains,2033,0.1
CR,Techs_Trains,2034,0.1
CR,Techs_Trains,2035,0.1
CR,Techs_Trains,2036,0.1
CR,Techs_Trains,2037,0.1
CR,Techs_Trains,2038,0.1
CR,Techs_Trains,2039,0.1
CR,Techs_Trains,2040,0.1
CR,Techs_Trains,2041,0.1
CR,Techs_Trains,2042,0.1
CR,Techs_Trains,2043,0.1
CR,Techs_Trains,2044,0.1
CR,Techs_Trains,2045,0.1
CR,Techs_Trains,2046,0.1
CR,Techs_Trains,2047,0.1
CR,Techs_Trains,2048,0.1
CR,Techs_Trains,2049,0.1
CR,Techs_Trains,2050,0.1
CR,Techs_Trains_Freight,2018,0.0
CR,Techs_Trains_Freight,2019,0.0
CR,Techs_Trains_Freight,2020,0.0
CR,Techs_Trains_Freight,2021,0.0
CR,Techs_Trains_Freight,2022,0.0
CR,Techs_Trains_Freight,2023,0.0
CR,Techs_Trains_Freight,2024,0.0
CR,Techs_Trains_Freight,2025,0.0
CR,Techs_Trains_Freight,2026,0.0
CR,Techs_Trains_Freight,2027,0.0
CR,Techs_Trains_Freight,2028,0.0
CR,Techs_Trains_Freight,2029,0.0
CR,Techs_Trains_Freight,2030,0.0
CR,Techs_Trains_Freight,2031,0.0
CR,Techs_Trains_Freight,2032,0.0
CR,Techs_Trains_Freight,2033,0.0
CR,Techs_Trains_Freight,2034,0.0
CR,Techs_Trains_Freight,2035,0.0
CR,Techs_Trains_Freight,2036,0.0
CR,Techs_Trains_Freight,2037,0.0
CR,Techs_Trains_Freight,2038,0.0
CR,Techs_Trains_Freight,2039,0.0
CR,Techs_Trains_Freight,2040,0.0
CR,Techs_Trains_Freight,2041,0.0
CR,Techs_Trains_Freight,2042,0.0
CR,Techs_Trains_Freight,2043,0.0
CR,Techs_Trains_Freight,2044,0.0
CR,Techs_Trains_Freight,2045,0.0
CR,Techs_Trains_Freight,2046,0.0
CR,Techs_Trains_Freight,2047,0.0
CR,Techs_Trains_Freight,2048,0.0
CR,Techs_Trains_Freight,2049,0.0
CR,Techs_Trains_Freight,2050,0.0
CR,Techs_He_Freight,2018,1.8685
CR,Techs_He_Freight,2019,1.9121
CR,Techs_He_Freight,2020,1.8325
CR,Techs_He_Freight,2021,1.9051
CR,Techs_He_Freight,2022,1.9766
CR,Techs_He_Freight,2023,2.0368
CR,Techs_He_Freight,2024,2.0988
CR,Techs_He_Freight,2025,2.1627
CR,Techs_He_Freight,2026,2.2286
CR,Techs_He_Freight,2027,2.2965
CR,Techs_He_Freight,2028,2.3664
CR,Techs_He_Freight,2029,2.4384
CR,Techs_He_Freight,2030,2.5127
CR,Techs_He_Freight,2031,2.5892
CR,Techs_He_Freight,2032,2.668
CR,Techs_He_Freight,2033,2.7493
CR,Techs_He_Freight,2034,2.833
CR,Techs_He_Freight,2035,2.9193
CR,Techs_He_Freight,2036,3.0082
CR,Techs_He_Freight,2037,3.0997
CR,Techs_He_Freight,2038,3.1941
CR,Techs_He_Freight,2039,3.2914
CR,Techs_He_Freight,2040,3.3916
CR,Techs_He_Freight,2041,3.4949
CR,Techs_He_Freight,2042,3.6013
CR,Techs_He_Freight,2043,3.711
CR,Techs_He_Freight,2044,3.824
CR,Techs_He_Freight,2045,3.9404
CR,Techs_He_Freight,2046,4.0604
CR,Techs_He_Freight,2047,4.184
CR,Techs_He_Freight,2048,4.3114
CR,Techs_He_Freight,2049,4.4427
CR,Techs_He_Freight,2050,4.578
CR,Techs_Li_Freight,2018,3.3972
CR,Techs_Li_Freight,2019,3.4765
CR,Techs_Li_Freight,2020,3.3318
CR,Techs_Li_Freight,2021,3.4637
CR,Techs_Li_Freight,2022,3.5938
CR,Techs_Li_Freight,2023,3.7032
CR,Techs_Li_Freight,2024,3.816
CR,Techs_Li_Freight,2025,3.9322
CR,Techs_Li_Freight,2026,4.0519
CR,Techs_Li_Freight,2027,4.1753
CR,Techs_Li_Freight,2028,4.3024
CR,Techs_Li_Freight,2029,4.4334
CR,Techs_Li_Freight,2030,4.5684
CR,Techs_Li_Freight,2031,4.7075
CR,Techs_Li_Freight,2032,4.8509
CR,Techs_Li_Freight,2033,4.9985
CR,Techs_Li_Freight,2034,5.1508
CR,Techs_Li_Freight,2035,5.3076
CR,Techs_Li_Freight,2036,5.4692
CR,Techs_Li_Freight,2037,5.6358
CR,Techs_Li_Freight,2038,5.8074
CR,Techs_Li_Freight,2039,5.9842
CR,Techs_Li_Freight,2040,6.1664
CR,Techs_Li_Freight,2041,6.3542
CR,Techs_Li_Freight,2042,6.5477
CR,Techs_Li_Freight,2043,6.747
CR,Techs_Li_Freight,2044,6.9525
CR,Techs_Li_Freight,2045,7.1642
CR,Techs_Li_Freight,2046,7.3824
CR,Techs_Li_Freight,2047,7.6072
CR,Techs_Li_Freight,2048,7.8388
CR,Techs_Li_Freight,2049,8.0775
CR,Techs_Li_Freight,2050,8.3234
CR,TRSUVDSL,2018,1.6200782999999999
CR,TRSUVDSL,2019,1.5247737000000001
CR,TRSUVDSL,2020,1.1171817000000002
CR,TRSUVDSL,2021,1.2915071999999999
CR,TRSUVDSL,2022,1.4826159
CR,TRSUVDSL,2023,1.5233751
CR,TRSUVDSL,2024,1.5652332
CR,TRSUVDSL,2025,1.6079904
CR,TRSUVDSL,2026,1.6517465999999998
CR,TRSUVDSL,2027,1.6965018
CR,TRSUVDSL,2028,1.742256
CR,TRSUVDSL,2029,1.7889093
CR,TRSUVDSL,2030,1.8366615000000002
CR,TRSUVDSL,2031,1.8854126999999998
CR,TRSUVDSL,2032,1.9352628
CR,TRSUVDSL,2033,1.9860119999999999
CR,TRSUVDSL,2034,2.03796
CR,TRSUVDSL,2035,2.0910069000000004
CR,TRSUVDSL,2036,2.1450528
CR,TRSUVDSL,2037,2.2002975
CR,TRSUVDSL,2038,2.2566411
CR,TRSUVDSL,2039,2.3140835999999996
CR,TRSUVDSL,2040,2.3727249
CR,TRSUVDSL,2041,2.432565
CR,TRSUVDSL,2042,2.4936039
CR,TRSUVDSL,2043,2.5557417
CR,TRSUVDSL,2044,2.6191782
CR,TRSUVDSL,2045,2.6837135999999995
CR,TRSUVDSL,2046,2.7496476000000003
CR,TRSUVDSL,2047,2.8166805
CR,TRSUVDSL,2048,2.8850121
CR,TRSUVDSL,2049,2.9546423999999996
CR,TRSUVDSL,2050,3.0255714
CR,TRSUVGSL,2018,3.2166800999999996
CR,TRSUVGSL,2019,3.0274695
CR,TRSUVGSL,2020,2.1286691999999996
CR,TRSUVGSL,2021,2.294703
CR,TRSUVGSL,2022,2.4711263999999997
CR,TRSUVGSL,2023,2.5389585
CR,TRSUVGSL,2024,2.6087886
CR,TRSUVGSL,2025,2.6801171999999998
CR,TRSUVGSL,2026,2.7530441999999997
CR,TRSUVGSL,2027,2.8275696
CR,TRSUVGSL,2028,2.9037933
CR,TRSUVGSL,2029,2.9816154
CR,TRSUVGSL,2030,3.0611357999999997
CR,TRSUVGSL,2031,3.1423544999999997
CR,TRSUVGSL,2032,3.2253714
CR,TRSUVGSL,2033,3.3100866
CR,TRSUVGSL,2034,3.3966
CR,TRSUVGSL,2035,3.4849116
CR,TRSUVGSL,2036,3.5752212000000005
CR,TRSUVGSL,2037,3.6671291999999998
CR,TRSUVGSL,2038,3.7610352
CR,TRSUVGSL,2039,3.8569392
