REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
CR,DIST_NGS,1,2018,3.033
CR,DIST_NGS,1,2019,2.4643
CR,DIST_NGS,1,2020,1.8956
CR,DIST_NGS,1,2021,2.7487
CR,DIST_NGS,1,2022,2.8009
CR,DIST_NGS,1,2023,2.8541
CR,DIST_NGS,1,2024,2.9083
CR,DIST_NGS,1,2025,2.9636
CR,DIST_NGS,1,2026,3.0199
CR,DIST_NGS,1,2027,3.0773
CR,DIST_NGS,1,2028,3.1358
CR,DIST_NGS,1,2029,3.1954
CR,DIST_NGS,1,2030,3.2561
CR,DIST_NGS,1,2031,3.318
CR,DIST_NGS,1,2032,3.381
CR,DIST_NGS,1,2033,3.4452
CR,DIST_NGS,1,2034,3.5107
CR,DIST_NGS,1,2035,3.5774
CR,DIST_NGS,1,2036,3.6454
CR,DIST_NGS,1,2037,3.7147
CR,DIST_NGS,1,2038,3.7853
CR,DIST_NGS,1,2039,3.8572
CR,DIST_NGS,1,2040,3.9305
CR,DIST_NGS,1,2041,4.0052
CR,DIST_NGS,1,2042,4.0813
CR,DIST_NGS,1,2043,4.1588
CR,DIST_NGS,1,2044,4.2378
CR,DIST_NGS,1,2045,4.3183
CR,DIST_NGS,1,2046,4.4003
CR,DIST_NGS,1,2047,4.4839
CR,DIST_NGS,1,2048,4.5691
CR,DIST_NGS,1,2049,4.6559
CR,DIST_NGS,1,2050,4.7444
CR,PPDSL,1,2018,1.3056
CR,PPDSL,1,2019,1.3056
CR,PPDSL,1,2020,1.3056
CR,PPDSL,1,2021,1.3056
CR,PPDSL,1,2022,1.3056
CR,PPDSL,1,2023,1.3056
CR,PPDSL,1,2024,1.3056
CR,PPDSL,1,2025,1.3056
CR,PPDSL,1,2026,1.3056
CR,PPDSL,1,2027,1.3056
CR,PPDSL,1,2028,1.3056
CR,PPDSL,1,2029,1.3056
CR,PPDSL,1,2030,1.3056
CR,PPDSL,1,2031,1.3056
CR,PPDSL,1,2032,1.3056
CR,PPDSL,1,2033,1.3056
CR,PPDSL,1,2034,1.3056
CR,PPDSL,1,2035,1.3056
CR,PPDSL,1,2036,1.3056
CR,PPDSL,1,2037,1.3056
CR,PPDSL,1,2038,1.3056
CR,PPDSL,1,2039,1.3056
CR,PPDSL,1,2040,1.3056
CR,PPDSL,1,2041,1.3056
CR,PPDSL,1,2042,1.3056
CR,PPDSL,1,2043,1.3056
CR,PPDSL,1,2044,1.3056
CR,PPDSL,1,2045,1.3056
CR,PPDSL,1,2046,1.3056
CR,PPDSL,1,2047,1.3056
CR,PPDSL,1,2048,1.3056
CR,PPDSL,1,2049,1.3056
CR,PPDSL,1,2050,1.3056
CR,DIST_BM,1,2018,3.05
CR,DIST_BM,1,2019,3.05
CR,DIST_BM,1,2020,3.05
CR,DIST_BM,1,2021,3.05
CR,DIST_BM,1,2022,3.05
CR,DIST_BM,1,2023,3.05
CR,DIST_BM,1,2024,3.05
CR,DIST_BM,1,2025,3.05
CR,DIST_BM,1,2026,3.05
CR,DIST_BM,1,2027,3.05
CR,DIST_BM,1,2028,3.05
CR,DIST_BM,1,2029,3.05
CR,DIST_BM,1,2030,3.05
CR,DIST_BM,1,2031,3.05
CR,DIST_BM,1,2032,3.05
CR,DIST_BM,1,2033,3.05
CR,DIST_BM,1,2034,3.05
CR,DIST_BM,1,2035,3.05
CR,DIST_BM,1,2036,3.05
CR,DIST_BM,1,2037,3.05
CR,DIST_BM,1,2038,3.05
CR,DIST_BM,1,2039,3.05
CR,DIST_BM,1,2040,3.05
CR,DIST_BM,1,2041,3.05
CR,DIST_BM,1,2042,3.05
CR,DIST_BM,1,2043,3.05
CR,DIST_BM,1,2044,3.05
CR,DIST_BM,1,2045,3.05
CR,DIST_BM,1,2046,3.05
CR,DIST_BM,1,2047,3.05
CR,DIST_BM,1,2048,3.05
CR,DIST_BM,1,2049,3.05
CR,DIST_BM,1,2050,3.05
CR,DIST_FOI,1,2018,10.1827
CR,DIST_FOI,1,2019,9.1493
CR,DIST_FOI,1,2020,6.532
CR,DIST_FOI,1,2021,9.1493
CR,DIST_FOI,1,2022,9.3231
CR,DIST_FOI,1,2023,9.5002
CR,DIST_FOI,1,2024,9.6807
CR,DIST_FOI,1,2025,9.8646
CR,DIST_FOI,1,2026,10.052
CR,DIST_FOI,1,2027,10.243
CR,DIST_FOI,1,2028,10.4376
CR,DIST_FOI,1,2029,10.6359
CR,DIST_FOI,1,2030,10.838
CR,DIST_FOI,1,2031,11.0439
