REGION,FUEL,YEAR,VALUE
GLOBAL,AGRDSLCOLXX,2022,28.98308815
GLOBAL,AGRDSLCOLXX,2023,29.27291903
GLOBAL,AGRDSLCOLXX,2024,32.38005362
GLOBAL,AGRDSLCOLXX,2025,35.81699082
GLOBAL,AGRDSLCOLXX,2026,39.61873711
GLOBAL,AGRDSLCOLXX,2027,43.82401463
GLOBAL,AGRDSLCOLXX,2028,48.47565567
GLOBAL,AGRDSLCOLXX,2029,53.62103889
GLOBAL,AGRDSLCOLXX,2030,59.31257189
GLOBAL,AGRDSLCOLXX,2031,65.608225
GLOBAL,AGRDSLCOLXX,2032,72.57212173
GLOBAL,AGRDSLCOLXX,2033,80.27519191
GLOBAL,AGRDSLCOLXX,2034,88.7958941
GLOBAL,AGRDSLCOLXX,2035,98.22101476
GLOBAL,AGRDSLCOLXX,2036,108.6465522
GLOBAL,AGRDSLCOLXX,2037,120.1786942
GLOBAL,AGRDSLCOLXX,2038,132.9348999
GLOBAL,AGRDSLCOLXX,2039,147.045096
GLOBAL,AGRDSLCOLXX,2040,162.6529997
GLOBAL,AGRDSLCOLXX,2041,179.9175835
GLOBAL,AGRDSLCOLXX,2042,199.0146932
GLOBAL,AGRDSLCOLXX,2043,220.1388399
GLOBAL,AGRDSLCOLXX,2044,243.5051808
GLOBAL,AGRDSLCOLXX,2045,269.3517104
GLOBAL,AGRDSLCOLXX,2046,297.9416852
GLOBAL,AGRDSLCOLXX,2047,329.5663043
GLOBAL,AGRDSLCOLXX,2048,364.5476761
GLOBAL,AGRDSLCOLXX,2049,403.2420985
GLOBAL,AGRDSLCOLXX,2050,446.0436883
GLOBAL,AGRELCCOLXX02,2022,21.02005323
GLOBAL,AGRELCCOLXX02,2023,21.23025376
GLOBAL,AGRELCCOLXX02,2024,22.41721126
GLOBAL,AGRELCCOLXX02,2025,23.6705301
GLOBAL,AGRELCCOLXX02,2026,24.99392045
GLOBAL,AGRELCCOLXX02,2027,26.39129995
GLOBAL,AGRELCCOLXX02,2028,27.86680522
GLOBAL,AGRELCCOLXX02,2029,29.42480418
GLOBAL,AGRELCCOLXX02,2030,31.06990896
GLOBAL,AGRELCCOLXX02,2031,32.80698953
GLOBAL,AGRELCCOLXX02,2032,34.64118815
GLOBAL,AGRELCCOLXX02,2033,36.57793456
GLOBAL,AGRELCCOLXX02,2034,38.6229621
GLOBAL,AGRELCCOLXX02,2035,40.78232463
GLOBAL,AGRELCCOLXX02,2036,43.06241447
GLOBAL,AGRELCCOLXX02,2037,45.46998134
GLOBAL,AGRELCCOLXX02,2038,48.01215233
