REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDCOLXX01,2022,999999
GLOBAL,PWRHYDCOLXX01,2023,999999
GLOBAL,PWRHYDCOLXX01,2024,999999
GLOBAL,PWRHYDCOLXX01,2025,999999
GLOBAL,PWRHYDCOLXX01,2026,999999
GLOBAL,PWRHYDCOLXX01,2027,999999
GLOBAL,PWRHYDCOLXX01,2028,999999
GLOBAL,PWRHYDCOLXX01,2029,999999
GLOBAL,PWRHYDCOLXX01,2030,999999
GLOBAL,PWRHYDCOLXX01,2031,999999
GLOBAL,PWRHYDCOLXX01,2032,999999
GLOBAL,PWRHYDCOLXX01,2033,999999
GLOBAL,PWRHYDCOLXX01,2034,999999
GLOBAL,PWRHYDCOLXX01,2035,999999
GLOBAL,PWRHYDCOLXX01,2036,999999
GLOBAL,PWRHYDCOLXX01,2037,999999
GLOBAL,PWRHYDCOLXX01,2038,999999
GLOBAL,PWRHYDCOLXX01,2039,999999
GLOBAL,PWRHYDCOLXX01,2040,999999
GLOBAL,PWRHYDCOLXX01,2041,999999
GLOBAL,PWRHYDCOLXX01,2042,999999
GLOBAL,PWRHYDCOLXX01,2043,999999
GLOBAL,PWRHYDCOLXX01,2044,999999
GLOBAL,PWRHYDCOLXX01,2045,999999
GLOBAL,PWRHYDCOLXX01,2046,999999
GLOBAL,PWRHYDCOLXX01,2047,999999
GLOBAL,PWRHYDCOLXX01,2048,999999
GLOBAL,PWRHYDCOLXX01,2049,999999
GLOBAL,PWRHYDCOLXX01,2050,999999
GLOBAL,PWRCSPCOLXX01,2022,999999
GLOBAL,PWRCSPCOLXX01,2023,999999
GLOBAL,PWRCSPCOLXX01,2024,999999
GLOBAL,PWRCSPCOLXX01,2025,999999
GLOBAL,PWRCSPCOLXX01,2026,999999
GLOBAL,PWRCSPCOLXX01,2027,999999
GLOBAL,PWRCSPCOLXX01,2028,999999
GLOBAL,PWRCSPCOLXX01,2029,999999
GLOBAL,PWRCSPCOLXX01,2030,999999
GLOBAL,PWRCSPCOLXX01,2031,999999
GLOBAL,PWRCSPCOLXX01,2032,999999
GLOBAL,PWRCSPCOLXX01,2033,999999
GLOBAL,PWRCSPCOLXX01,2034,999999
GLOBAL,PWRCSPCOLXX01,2035,999999
GLOBAL,PWRCSPCOLXX01,2036,999999
GLOBAL,PWRCSPCOLXX01,2037,999999
GLOBAL,PWRCSPCOLXX01,2038,999999
GLOBAL,PWRCSPCOLXX01,2039,999999
GLOBAL,PWRCSPCOLXX01,2040,999999
GLOBAL,PWRCSPCOLXX01,2041,999999
GLOBAL,PWRCSPCOLXX01,2042,999999
GLOBAL,PWRCSPCOLXX01,2043,999999
GLOBAL,PWRCSPCOLXX01,2044,999999
GLOBAL,PWRCSPCOLXX01,2045,999999
GLOBAL,PWRCSPCOLXX01,2046,999999
GLOBAL,PWRCSPCOLXX01,2047,999999
GLOBAL,PWRCSPCOLXX01,2048,999999
GLOBAL,PWRCSPCOLXX01,2049,999999
GLOBAL,PWRCSPCOLXX01,2050,999999
GLOBAL,PWRCSPECUXX01,2022,999999
GLOBAL,PWRCSPECUXX01,2023,999999
GLOBAL,PWRCSPECUXX01,2024,999999
GLOBAL,PWRCSPECUXX01,2025,999999
GLOBAL,PWRCSPECUXX01,2026,999999
GLOBAL,PWRCSPECUXX01,2027,999999
GLOBAL,PWRCSPECUXX01,2028,999999
GLOBAL,PWRCSPECUXX01,2029,999999
GLOBAL,PWRCSPECUXX01,2030,999999
GLOBAL,PWRCSPECUXX01,2031,999999
GLOBAL,PWRCSPECUXX01,2032,999999
GLOBAL,PWRCSPECUXX01,2033,999999
GLOBAL,PWRCSPECUXX01,2034,999999
GLOBAL,PWRCSPECUXX01,2035,999999
GLOBAL,PWRCSPECUXX01,2036,999999
GLOBAL,PWRCSPECUXX01,2037,999999
GLOBAL,PWRCSPECUXX01,2038,999999
GLOBAL,PWRCSPECUXX01,2039,999999
GLOBAL,PWRCSPECUXX01,2040,999999
GLOBAL,PWRCSPECUXX01,2041,999999
